epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4661,0.83112,2.97597,0.95988,0.00697,1,0.84255,0.7818,0.38152,2.75211,0.87204,0.0001,0.0001,0.0001
2,24.4587,0.5903,2.35105,0.86293,0.00697,1,0.93871,0.87954,0.36729,2.65748,0.84436,0.00019822,0.00019822,0.00019822
3,36.6616,0.6633,1.66097,0.98825,0.00697,1,0.94468,0.86163,0.4406,2.51369,0.82888,0.00027268,0.00027268,0.00027268
4,48.1131,0.5651,1.3392,0.90087,1,0.66589,0.92041,0.83591,0.46556,2.15569,0.85793,0.00032338,0.00032338,0.00032338
5,59.4424,0.54058,1.22418,0.87703,1,0.83655,0.9212,0.84575,0.45681,1.95707,0.86162,0.00035032,0.00035032,0.00035032
6,71.0944,0.52417,1.34171,0.89681,1,0.86763,0.92376,0.83786,0.46049,1.8563,0.84946,0.0003535,0.0003535,0.0003535
7,82.3903,0.49881,1.15204,0.91198,1,0.88764,0.93726,0.8754,0.44891,1.74478,0.85452,0.00033292,0.00033292,0.00033292
8,93.0119,0.50796,1.58704,0.94511,1,0.88764,0.93726,0.8754,0.44891,1.74478,0.85452,0.00028858,0.00028858,0.00028858
9,104.257,0.456,1.2847,0.90473,1,0.91082,0.95184,0.8978,0.42693,1.62176,0.86467,0.00022048,0.00022048,0.00022048
10,115.67,0.39819,1.11335,0.83319,0.97732,0.93677,0.95586,0.89635,0.38683,1.50251,0.84479,0.00012862,0.00012862,0.00012862
